RM,unit,Branch, December , 12th jan , 19th jan , 26th jan , January , WK1 FEB , WK1 FEB2 , WK1 FEB3 , WK1 FEB4 , WK1 mar 
RM 8 ,Corporate Sales,Milimani,411960,411960,411960,411960,411960,411960,411960,411960,411960,411960
RM 9,Corporate Banking,Milimani,1116714,581801,581801,331801,890532,728616,777484,63418,591600,435816
RM 5,Corporate Banking,Milimani,15000000,14224791,14069215,14039017,14002703,14131732,14006336,14001270,14000000,14000000
RM 7,Corporate Sales,Milimani,410424,410424,410424,410424,410424,410424,410424,410424,410424,410524
RM 13,Branch Banking,Industrial Area,148907,119345,27985,200806,416327,368803,775066,815777,815777,732977
RM 1,Branch Banking,Milimani,25766279,25766279,25766279,25766279,25776201,27370870,27370870,26779903,26802238,26802238
RM 9,Corporate Banking,Milimani,14615,14615,14615,94615,14505,14505,14505,94505,14395,14395
RM 5,Corporate Banking,Milimani,399936,400290,404887,404887,404269,402856,400385,402503,401890,403653
RM 1,Branch Banking,Milimani,674459,674459,674459,674459,674459,674459,674459,674459,674459,684707
RM 13,Branch Banking,Industrial Area,793068,501530,325428,225394,82622,75954,645952,65411,50971,146977
RM 3,Branch Banking,Eldoret,4030,415830,457338,46273,31141,19009,14943,14943,14943,30443
RM 3,Branch Banking,Eldoret,10952,10952,10952,10952,10952,10952,10952,10952,10952,10952
RM 1,Branch Banking,Milimani,212387,212387,212387,212387,212387,212387,212387,212387,212387,212387
RM 6,Institutional Banking,Milimani,9805,9805,9805,9805,9205,9205,9205,9205,8605,8605
RM 1,Branch Banking,Milimani,471611,533609,533609,533609,416609,194356,193159,178156,178156,178156
RM 1,Branch Banking,Milimani,579581,579581,579581,579581,579581,579581,579581,579581,579581,579581
RM 1,Branch Banking,Milimani,555653,555653,555653,555653,555653,555653,555653,555653,555653,555653
RM 8 ,Corporate Sales,Milimani,100543,40345,20279,65111,65111,39979,19913,10847,66345,6279
RM 1,Branch Banking,Milimani,4144968,4144968,4144968,4144968,4144968,4144968,4144968,4144968,4144968,4218775
STAFF,Staff,Milimani,310062,172327,136355,215878,190143,145034,130854,258224,172969,143962
RM 3,Branch Banking,Eldoret,239871,239871,368871,368871,274271,274271,408271,408271,407671,354600
RM 2,Branch Banking,Mombasa,839488,855488,855488,871488,871488,887488,887488,903488,903488,903488
RM 2,Branch Banking,Mombasa,436759,445759,445759,445759,445759,445759,445759,445759,445759,445759
RM 1,Branch Banking,Milimani,555653,555653,555653,555653,555653,555653,555653,555653,555653,555653
RM 13,Branch Banking,Industrial Area,27846135,27860145,28042276,28042276,28093581,28037362,20438978,20523307,20523307,20593581
RM 2,Branch Banking,Mombasa,548413,548413,548413,548413,548413,548413,523410,523410,523410,523410
STAFF,Staff,Milimani,20822,10267,215,22255,12252,7720,3517,79637,9755,2747
RM 3,Branch Banking,Eldoret,1676,1676,1676,1676,1676,1676,1676,1676,1676,1826
RM 1,Branch Banking,Milimani,316626,423500,433594,493364,552207,351824,424515,462922,548047,342367
RM 1,Branch Banking,Milimani,555653,555653,555653,555653,555653,555653,555653,555653,555653,555653
RM 3,Branch Banking,Eldoret,605363,488161,478158,498158,501164,511161,521161,532159,476148,461161
RM 1,Branch Banking,Milimani,654954,806007,661049,620851,871099,722826,734684,729599,723535,703469
RM 1,Branch Banking,Milimani,254959,64806,130119,530119,529519,529519,341686,341686,341086,362141
RM 1,Branch Banking,Milimani,18123664,19453302,19268112,19048389,18648883,17448241,17037575,20240487,20054728,14669941
RM 2,Branch Banking,Mombasa,87844,92844,92844,92844,92844,92844,97844,97844,97844,97844
STAFF,Staff,Milimani,270304,209281,209281,209281,209281,148711,148711,88946,141385,141385
RM 2,Branch Banking,Mombasa,338631,338631,338631,338631,338631,338631,338631,338631,338631,338631
RM 2,Branch Banking,Mombasa,382201,407201,407201,407201,406601,431601,431601,431601,431001,456001
RM 5,Corporate Banking,Milimani,169388,51388,82588,127988,208,208,229808,20962,15536,61336
RM 6,Institutional Banking,Milimani,131753,10163,105165,135191,134591,63027,113053,113053,127479,75941
RM 1,Branch Banking,Milimani,12395,890076,14723620,324390,1462714,6639279,5485018,4709806,460918,16847203
RM 2,Branch Banking,Mombasa,324012,324012,324012,324012,324012,324012,324012,327321,327321,327321
RM 1,Branch Banking,Milimani,10134,10134,10134,10134,9534,9534,9534,9534,8934,8934
RM 3,Branch Banking,Eldoret,317066,17066,17066,40066,40066,50066,55066,55066,55066,55066
RM 2,Branch Banking,Mombasa,379903,379903,379903,379903,379903,379903,379903,379903,379903,646215
RM 2,Branch Banking,Mombasa,316295,316295,316295,316295,316295,316295,316295,316295,316295,316295
RM 3,Branch Banking,Eldoret,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 1,Branch Banking,Milimani,93783,93783,93783,93783,93783,93783,93783,93783,93783,93783
RM 13,Branch Banking,Industrial Area,316899,316899,316899,316899,316299,316299,316299,226299,225699,225699
RM 1,Branch Banking,Milimani,1680862,1680862,1680862,1680862,1764065,1764065,1764065,1764065,1822660,1822660
RM 1,Branch Banking,Milimani,531976,531976,531976,531976,531976,531976,531976,531976,531976,531976
RM 1,Branch Banking,Milimani,475065,475065,475065,475065,475065,475065,475065,475065,475065,475065
RM 3,Branch Banking,Eldoret,    ,232136,1740,    ,    ,    ,    ,    ,    ,720
RM 3,Branch Banking,Eldoret,31104,31104,31104,31104,31104,26101,26101,26101,26101,26101
STAFF,Staff,Milimani,772608,752743,745443,795705,782643,767903,765790,817778,751491,725511
RM 1,Branch Banking,Milimani,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 2,Branch Banking,Mombasa,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 5,Corporate Banking,Milimani,51633,38,38,38,    ,    ,11451,8481,1336,1336
RM 1,Branch Banking,Milimani,652,652,652,652,652,652,652,652,652,652
RM 1,Branch Banking,Milimani,282054,282054,282054,282054,282054,282054,282054,282054,282054,282054
RM 13,Branch Banking,Industrial Area,214763,214763,214763,214763,214763,214763,214763,214763,214763,214763
RM 6,Institutional Banking,Milimani,264863,264863,264863,264863,264863,264863,264863,264863,264863,264863
RM 1,Branch Banking,Milimani,165748,165748,165748,165748,165148,145148,166148,166148,165548,165548
RM 1,Branch Banking,Milimani,234520,234520,234520,234520,234520,234520,234520,234520,234520,234520
RM 1,Branch Banking,Milimani,234520,234520,234520,234520,234520,234520,234520,234520,234520,234520
RM 2,Branch Banking,Mombasa,289282,289282,289282,289282,289282,289282,289282,289282,289282,289782
RM 2,Branch Banking,Mombasa,4910,224910,299910,279910,230210,160210,160210,230210,199610,76610
RM 1,Branch Banking,Milimani,50895,895,895,895,    ,    ,    ,    ,    ,    
RM 3,Branch Banking,Eldoret,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 1,Branch Banking,Milimani,234520,234520,234520,234520,234520,234520,234520,234520,234520,234520
RM 6,Institutional Banking,Milimani,13176196,13176196,13176196,13413196,13413196,13413196,13620922,13748922,13858922,14214172
RM 7,Corporate Sales,Milimani,302649,302649,307450,308450,308450,309450,309450,309450,309450,309450
RM 1,Branch Banking,Milimani,23612,23612,23612,23612,23612,32435,32435,32435,32435,32435
RM 13,Branch Banking,Industrial Area,76328,26325,26325,26325,26325,26325,26325,26325,26325,26325
RM 3,Branch Banking,Eldoret,788834,798229,587721,467719,467719,277714,260711,160706,160706,961701
RM 1,Branch Banking,Milimani,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 6,Institutional Banking,Milimani,162936,1386,209413,57179,17295,152114,152114,33584,4582,4582
RM 1,Branch Banking,Milimani,199936,199936,199936,199936,199936,199936,199936,199936,199936,199936
RM 8 ,Corporate Sales,Milimani,272284,272284,272284,272284,272284,272284,272284,272284,272284,272284
RM 1,Branch Banking,Milimani,292414,292414,292414,292414,292414,292414,282414,282414,282414,282414
STAFF,Staff,Milimani,23423,1123,38,63775,8740,240,240,184819,67414,15814
RM 2,Branch Banking,Mombasa,277216,277216,277216,277216,277216,277216,277216,277216,277216,277216
RM 3,Branch Banking,Eldoret,5517,64517,1000,1000,1000,1000,    ,    ,    ,    
RM 2,Branch Banking,Mombasa,209950,209950,196950,185805,185205,185205,196205,191345,190745,185245
RM 2,Branch Banking,Mombasa,336362,259362,259362,259362,259058,259058,259058,321112,320808,351835
RM 1,Branch Banking,Milimani,259587,9587,9587,262489,261889,11889,264791,264791,264191,264191
RM 1,Branch Banking,Milimani,552648,552648,552648,552648,552648,552648,552648,552648,552648,552648
RM 13,Branch Banking,Industrial Area,258808,258808,258808,258808,258808,258808,258808,258808,258808,258808
RM 2,Branch Banking,Mombasa,165334,165334,165334,165334,165334,165334,165334,165334,165334,165334
RM 1,Branch Banking,Milimani,129730,129730,129730,129730,129730,129730,129730,129730,129730,129730
RM 2,Branch Banking,Mombasa,246347,246347,393597,393597,393597,393597,393597,564847,564847,564847
RM 3,Branch Banking,Eldoret,169511,169511,149509,149509,149509,149509,149509,149509,149509,149509
RM 1,Branch Banking,Milimani,5156102,4244299,5761051,4710942,4719812,4994051,4390852,4495188,4978048,4190897
RM 1,Branch Banking,Milimani,41855,41855,41855,41855,41855,41855,41855,41855,41855,41855
RM 3,Branch Banking,Eldoret,128994,62994,12994,20994,21394,40394,581731,33731,33131,32604
RM 5,Corporate Banking,Milimani,2527333,2605333,2680333,2539805,2539805,2539805,2509805,2641805,2741805,2741805
RM 9,Corporate Banking,Milimani,35000233,35000544,35000544,35000544,35000544,35000544,35000544,35000544,35000544,35000544
RM 1,Branch Banking,Milimani,41590,41590,41590,41590,41590,41590,41590,41590,41590,41590
RM 9,Corporate Banking,Milimani,34705,34955,34955,34955,34955,34955,34955,34955,34955,34955
RM 13,Branch Banking,Industrial Area,20688,7261,3742,3742,53642,3576,3088,3088,3088,26472
RM 1,Branch Banking,Milimani,39582,39582,39582,39582,39582,39582,39582,39582,39582,39582
RM 1,Branch Banking,Milimani,234520,234520,234520,234520,234520,234520,234520,234520,234520,234520
RM 1,Branch Banking,Milimani,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 1,Branch Banking,Milimani,33779,33779,33779,33779,33779,33779,33779,33779,33779,33779
RM 1,Branch Banking,Milimani,2514888,2517112,2546019,2546019,2545400,2536508,2520947,2534285,2533672,2544784
RM 1,Branch Banking,Milimani,47229,47229,47229,47229,46629,241629,51629,51629,51029,51029
RM 6,Institutional Banking,Milimani,75,75,75,75,75,75,75,75,75,75
RM 1,Branch Banking,Milimani,32257,32257,32257,32257,32257,32257,32257,32257,32257,32257
RM 1,Branch Banking,Milimani,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 8 ,Corporate Sales,Milimani,977530,706540,1560466,200674,    ,149997,300271,112141,    ,249
RM 6,Institutional Banking,Milimani,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 2,Branch Banking,Mombasa,1069660,1021558,818592,1489727,1399035,1196646,1192465,1168680,1240317,1250117
RM 3,Branch Banking,Eldoret,24870,24870,144870,4870,24870,84870,84570,84570,84570,13370
RM 1,Branch Banking,Milimani,30872,30872,30872,30872,30872,30872,30872,30872,30872,30872
RM 1,Branch Banking,Milimani,19578,19578,19578,19578,19578,19578,19578,19578,19578,19578
STAFF,Staff,Milimani,155843,157269,157269,157269,157269,157269,157269,157269,157269,157269
RM 13,Branch Banking,Industrial Area,120495,107543,107543,138515,137406,107543,108087,108087,108087,108087
RM 3,Branch Banking,Eldoret,208379,208379,208379,208379,208379,208379,211379,223379,223379,231379
RM 7,Corporate Sales,Milimani,39564,39564,39564,39564,38964,38964,38964,38964,38364,38364
RM 2,Branch Banking,Mombasa,19116,19116,14116,14116,13516,13516,13516,13516,12916,12916
RM 5,Corporate Banking,Milimani,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 2,Branch Banking,Mombasa,266551,271551,271551,271551,271551,276551,276551,276551,276551,281551
RM 1,Branch Banking,Milimani,39817,39817,39817,41817,41817,41817,41817,61817,61817,61817
STAFF,Staff,Mombasa,209889,209889,209889,209889,209889,209889,209889,209889,209889,209889
RM 1,Branch Banking,Milimani,13093,13093,13093,13093,13093,13093,13093,13093,13093,13093
RM 9,Corporate Banking,Milimani,1153375,1160205,1165821,1190371,1189152,1318185,1246248,1249524,1248311,1260498
RM 2,Branch Banking,Mombasa,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 5,Corporate Banking,Milimani,1000000,1000000,1000000,1000000,1000000,1000000,641877,641877,641877,641877
RM 1,Branch Banking,Milimani,13049,13049,13049,13049,13049,13049,13049,13049,13049,13049
RM 1,Branch Banking,Milimani,50253089,50012231,50005316,50005316,50306500,50006302,50006302,50006302,50325052,50054854
RM 1,Branch Banking,Milimani,5001582,5009295,5029420,5034943,6484943,6484943,8042465,8067830,8876340,8876340
RM 2,Branch Banking,Mombasa,152254,152254,152254,150188,150188,150188,150188,150188,150188,150188
RM 3,Branch Banking,Eldoret,635926,712926,612926,1536,1536,741753,43560,43560,41998,91998
STAFF,Staff,Milimani,79186,15001,10001,50001,50001,50001,50001,168350,56428,2382
RM 1,Branch Banking,Milimani,12437,12437,12437,13437,13437,13437,13437,13437,13437,13437
RM 6,Institutional Banking,Milimani,82383,82383,82383,82383,81783,81783,81783,81783,81183,81183
RM 13,Branch Banking,Industrial Area,188042,188042,188042,188042,188042,188042,188042,188042,188042,188042
RM 2,Branch Banking,Mombasa,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 9,Corporate Banking,Milimani,339,339,339,339,    ,    ,    ,    ,    ,    
RM 1,Branch Banking,Milimani,302,302,302,302,302,302,302,302,302,302
RM 1,Branch Banking,Milimani,4978,12,12,12,    ,    ,    ,    ,    ,    
RM 3,Branch Banking,Eldoret,1792601,1487601,1897101,981974,946326,832026,777026,687894,687294,657294
RM 2,Branch Banking,Mombasa,701747,702427,702427,702427,702427,702427,702427,702427,702427,702427
STAFF,Staff,Milimani,583,583,583,583,583,583,583,583,583,583
RM 1,Branch Banking,Milimani,85453,90661,90661,90661,90661,90661,95355,95355,95355,95355
RM 2,Branch Banking,Mombasa,140391,142391,142391,127389,127389,130389,130389,130389,130389,133389
RM 6,Institutional Banking,Milimani,11809,11809,11809,11809,11809,11809,11809,11809,11809,11809
RM 1,Branch Banking,Milimani,46239,46239,46239,46239,46239,46239,46239,46239,46239,46239
STAFF,Staff,Milimani,597,597,597,597,597,597,597,597,597,597
RM 2,Branch Banking,Mombasa,84819,46430,370507,219747,161798,125803,47757,312068,340486,26948
RM 1,Branch Banking,Milimani,8076,8076,8076,8076,8076,8076,8076,8076,8076,8076
RM 13,Branch Banking,Industrial Area,    ,5334,    ,    ,74624,8119,529,1000,114713,    
RM 9,Corporate Banking,Milimani,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 2,Branch Banking,Mombasa,167752,167752,167752,167752,167752,167752,167752,167752,167752,167752
RM 1,Branch Banking,Milimani,908137,1045657,1045657,1045657,1020928,980928,980928,980928,925013,925013
RM 2,Branch Banking,Mombasa,234908,234908,234908,234908,234908,234908,234908,234908,234908,234908
RM 1,Branch Banking,Milimani,1417302,480,353,110,715136,136280,132354,524899,150011,40227
RM 2,Branch Banking,Mombasa,764994,764994,897994,897994,897994,897994,897994,957994,957994,957994
RM 3,Branch Banking,Eldoret,157062,157062,157062,157062,157062,157062,157062,157062,157062,157062
RM 3,Branch Banking,Eldoret,140127,220088,104835,84832,11040,71382,107260,69255,5825,37982
RM 1,Branch Banking,Milimani,12918,12918,12918,12918,12918,12918,13436,13436,13436,13436
RM 8 ,Corporate Sales,Milimani,199979,199979,199979,204979,204979,204979,204979,204979,226979,226979
RM 1,Branch Banking,Milimani,7355,7355,7355,7355,7355,7355,7355,7355,7355,7355
RM 1,Branch Banking,Milimani,34256,34276,34541,34541,34541,32393,32251,271761,71281,45751
RM 6,Institutional Banking,Milimani,422744,423342,423373,446768,452981,453313,453416,453516,481463,482013
RM 6,Institutional Banking,Milimani,15111311,14210711,16308911,16725581,8895741,7248090,6136890,5325100,4927557,4922687
RM 3,Branch Banking,Eldoret,41624,41624,41624,41774,43194,44694,46694,46779,47779,64179
RM 7,Corporate Sales,Milimani,294417,309539,309539,259473,259473,259473,259473,259473,259473,259473
RM 8 ,Corporate Sales,Milimani,240270,220267,200265,294516,289156,244153,244153,244381,274200,239195
RM 13,Branch Banking,Industrial Area,222331,268218,170418,176236,172980,126580,123380,274440,374090,428190
RM 13,Branch Banking,Industrial Area,11834,11834,11834,11834,11234,1234,1234,1234,634,634
RM 13,Branch Banking,Industrial Area,40533,16903,12899,3769,11403,52733,10381,3315,    ,13147
RM 1,Branch Banking,Milimani,2265149,2334951,2593443,2540245,2208552,2140156,2471068,2410936,2360804,2230597
RM 6,Institutional Banking,Milimani,67295,67295,67295,67295,66695,66695,66695,66695,66095,66095
RM 2,Branch Banking,Mombasa,142317,142317,142317,142317,142317,142317,142317,142317,142317,142317
RM 2,Branch Banking,Mombasa,142399,142399,142399,142399,142399,142399,142399,142399,142399,142399
RM 7,Corporate Sales,Milimani,112001,112001,112001,112001,112001,112001,112001,112001,112001,112001
RM 8 ,Corporate Sales,Milimani,110961,110961,105958,95956,110356,110356,100353,100353,114153,84151
RM 2,Branch Banking,Mombasa,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 2,Branch Banking,Mombasa,132605,132605,132605,132605,132605,132605,132605,132605,132605,132605
RM 3,Branch Banking,Eldoret,30495,131,131,65,69819,15555,9993,51861,39001,14473
RM 1,Branch Banking,Milimani,186882,231858,156358,156358,156358,201334,201334,201334,201334,246310
RM 3,Branch Banking,Eldoret,824,824,824,824,824,824,824,824,824,824
RM 2,Branch Banking,Mombasa,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
STAFF,Staff,Milimani,414077,403083,387216,415834,361429,347183,342351,429893,523708,507586
RM 3,Branch Banking,Eldoret,91659,91659,91659,91659,91659,91659,91659,91659,91659,91659
RM 2,Branch Banking,Mombasa,130230,130230,155730,155730,155730,181230,181230,181230,2230,2230
RM 6,Institutional Banking,Milimani,170963,171201,171733,171422,169644,170724,170136,170260,168423,167525
RM 2,Branch Banking,Mombasa,765662,765662,765662,765662,766075,766075,766075,766075,766489,766489
RM 2,Branch Banking,Mombasa,124318,124980,124980,124980,124980,124980,126609,126609,126609,30272
RM 13,Branch Banking,Industrial Area,270406,271006,323869,323869,322909,322909,322909,398995,398035,427903
RM 1,Branch Banking,Milimani,7043,7043,7043,7043,7043,7043,7043,7043,7043,7043
RM 1,Branch Banking,Milimani,45498694,45498694,45498694,44998694,45152622,45152622,45170078,45238454,45284332,45345208
RM 9,Corporate Banking,Milimani,    ,    ,    ,    ,    ,1052,    ,    ,    ,    
RM 5,Corporate Banking,Milimani,5930,174836,5506,1000,166174,58844,646,646,9387,212544
RM 2,Branch Banking,Mombasa,124600,124600,124600,124600,124600,124600,124600,124600,124600,124600
RM 2,Branch Banking,Mombasa,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 3,Branch Banking,Eldoret,521921,521921,521921,521921,521921,521921,521921,521921,521921,521921
RM 3,Branch Banking,Eldoret,722,722,722,722,722,722,722,722,722,722
RM 7,Corporate Sales,Milimani,10053,10053,10053,10053,9453,9453,9453,9453,8853,8853
RM 13,Branch Banking,Industrial Area,6552,6552,6552,6552,6552,336552,29052,29052,29052,29052
RM 1,Branch Banking,Milimani,5642,5642,5642,5642,5642,5642,5642,5642,5642,5642
RM 3,Branch Banking,Eldoret,4638,4638,4638,4638,4638,4638,4638,4638,4638,4638
RM 3,Branch Banking,Eldoret,120293,120293,120293,120293,120293,120293,120293,120293,120293,120293
RM 1,Branch Banking,Milimani,5348,5348,5348,5348,5348,5348,5348,5348,5348,5348
RM 1,Branch Banking,Milimani,5165,5165,5165,5165,5165,5165,5165,5165,5165,5165
RM 1,Branch Banking,Milimani,5158,5158,5158,5158,5158,5158,5158,5158,5158,5158
RM 8 ,Corporate Sales,Milimani,100917,15851,551197,553,553,8243,8243,8243,8243,15933
RM 7,Corporate Sales,Milimani,337908,337908,337908,337908,337908,337908,272405,272405,272405,260905
RM 1,Branch Banking,Milimani,0,0,0,0,0,0,0,0,0,0
RM 3,Branch Banking,Eldoret,    ,    ,    ,    ,1179,1179,1179,1779,17631,631
RM 8 ,Corporate Sales,Milimani,32840,32840,32840,32840,32840,32840,32840,32840,32840,32840
RM 1,Branch Banking,Milimani,4204,4204,4204,4204,4204,4204,4204,4204,4204,4204
RM 1,Branch Banking,Milimani,5910,5910,5910,5910,5910,5910,7719,7719,7719,7719
STAFF,Staff,Milimani,129082,66855,13198,81152,54762,9238,1863,87189,61664,13477
RM 1,Branch Banking,Milimani,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185
RM 3,Branch Banking,Eldoret,111725,111725,111725,111725,111725,111725,111725,111725,111725,111725
RM 13,Branch Banking,Industrial Area,166014,166014,181014,181014,181014,181014,181014,181014,181014,186014
RM 3,Branch Banking,Eldoret,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 1,Branch Banking,Milimani,209760,209760,209760,120628,120628,4323,2023,2023,2023,184183
RM 1,Branch Banking,Milimani,3140,3140,3140,3140,3140,3140,3140,3140,3140,3140
RM 1,Branch Banking,Milimani,107005,107005,107005,107005,107005,233584,107005,107005,107005,107005
RM 1,Branch Banking,Milimani,3079,3079,3079,3079,3079,3079,3079,3079,3079,3079
RM 3,Branch Banking,Eldoret,151718,82668,964668,679318,704676,631676,328176,217176,    ,11916
RM 2,Branch Banking,Mombasa,383489,493183,519175,508851,452669,1259,277743,340021,150523,182000
RM 2,Branch Banking,Mombasa,107338,107338,107338,107338,107338,107338,107338,107338,107338,107338
RM 7,Corporate Sales,Milimani,388046,57387,57387,57387,57387,57691,57691,57691,57691,57986
RM 1,Branch Banking,Milimani,4,4,4,4,4,4,4,4,4,4
RM 3,Branch Banking,Eldoret,129031,129031,231696,231696,231096,46096,46096,391317,49717,49717
RM 1,Branch Banking,Milimani,2927,2927,2927,2927,2927,2927,2927,2927,2927,2927
STAFF,Staff,Milimani,1194988,87430,27430,218629,1554,210054,50054,603711,399324,83216
STAFF,Staff,Milimani,2273863,2230863,2220863,2222413,2222413,2190413,2180413,2192336,2180336,2110336
RM 3,Branch Banking,Eldoret,1291,250853,105848,75843,2515840,2095835,1945830,1915828,1705823,1635818
RM 2,Branch Banking,Mombasa,2326,2326,2326,2326,1726,1726,1726,1726,1126,1126
RM 2,Branch Banking,Mombasa,98668,98668,98668,98668,98668,98668,98668,98668,98668,98668
RM 2,Branch Banking,Mombasa,31296,31296,54296,34296,33696,164646,149396,49396,198146,138846
RM 3,Branch Banking,Eldoret,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
STAFF,Staff,Milimani,228794,188794,143594,281211,261211,196211,147885,275501,265501,221101
RM 2,Branch Banking,Mombasa,70248,70248,70248,70248,70248,70248,70248,70248,70248,70248
RM 1,Branch Banking,Milimani,2917,2917,2917,2917,2917,2917,2917,2917,2917,2917
RM 8 ,Corporate Sales,Milimani,82066,72066,62066,52066,119696,100696,65696,60696,112360,102360
RM 2,Branch Banking,Mombasa,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
STAFF,Staff,Milimani,328976,276165,270115,383279,296988,233377,220102,344782,263580,204196
RM 2,Branch Banking,Mombasa,101529,113359,113359,113359,113359,113359,113359,113359,113359,113359
RM 2,Branch Banking,Mombasa,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 2,Branch Banking,Mombasa,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 1,Branch Banking,Milimani,2844,2844,2844,2844,2844,2844,2844,2844,2844,2844
RM 1,Branch Banking,Milimani,2570,2570,2570,2570,2570,2570,2570,2570,2570,2570
RM 1,Branch Banking,Milimani,2548,2548,2548,2548,2548,2548,2548,2548,2548,2548
RM 1,Branch Banking,Milimani,2538,2538,2538,2538,2538,2538,2538,2538,2538,2538
RM 3,Branch Banking,Eldoret,2884480,2926282,2926282,2926282,3121216,2720145,2700852,2700852,1800252,1706250
STAFF,Staff,Milimani,39959,16118,9925,33967,7464,175,175,85226,26694,30174
RM 2,Branch Banking,Mombasa,85978,85978,85978,85978,85978,85978,85978,85978,85978,85978
RM 13,Branch Banking,Industrial Area,20615,2610,1108,1108,1108,11105,4600,2098,2098,1093
RM 5,Corporate Banking,Milimani,3917,258851,1836,1836,3005150,1904220,1597488,1164458,1163846,888048
RM 3,Branch Banking,Eldoret,120572,10565,359965,4962,114962,84960,254955,224950,184947,249942
RM 1,Branch Banking,Milimani,2243,2243,2243,2243,2243,2243,2243,2243,2243,2243
RM 1,Branch Banking,Milimani,2243,2243,2243,2243,2243,2243,2243,2243,2243,2243
RM 1,Branch Banking,Milimani,2243,2243,2243,2243,2243,2243,2243,2243,2243,2243
RM 9,Corporate Banking,Milimani,135551,73985,37589,10759,    ,52009,28745,2915,    ,113303
RM 5,Corporate Banking,Milimani,137802,232102,232102,169102,203502,289802,289802,289802,324202,558502
RM 5,Corporate Banking,Milimani,133594,733594,1193594,11828,18891,18891,18891,36510,35910,35910
RM 6,Institutional Banking,Milimani,68,68,68,68,68,15068,15068,5002,34936,34936
RM 13,Branch Banking,Industrial Area,147274,147274,147274,149274,153274,153274,153274,    ,    ,    
RM 3,Branch Banking,Eldoret,83727,83727,83727,83727,83727,83727,83727,83727,83727,83727
RM 3,Branch Banking,Eldoret,510,510,510,510,510,510,510,510,510,510
RM 2,Branch Banking,Mombasa,83771,83771,83771,84771,84771,84771,84771,84771,84771,84771
RM 3,Branch Banking,Eldoret,747,747,747,747,747,747,747,747,747,747
RM 2,Branch Banking,Mombasa,    ,    ,    ,    ,    ,314,314,118833,    ,    
RM 2,Branch Banking,Mombasa,67546,68546,68546,65544,65544,65544,65544,65544,65544,65544
RM 2,Branch Banking,Mombasa,4903,11004,2010,1946,    ,8784,3986,228,144802,32
RM 3,Branch Banking,Eldoret,752,752,752,752,752,90747,70742,1230732,400727,246722
RM 1,Branch Banking,Milimani,7759,7759,7759,7759,7759,7759,7759,7759,7759,8300
RM 1,Branch Banking,Milimani,2243,2243,2243,2243,2243,2243,2243,2243,2243,2243
RM 7,Corporate Sales,Milimani,227416,227416,227416,227416,227066,227066,227066,227066,226968,226968
RM 3,Branch Banking,Eldoret,76219,103532,111451,110336,134612,264976,162765,197538,151938,218161
RM 2,Branch Banking,Mombasa,70753,71640,71640,66638,66638,61635,61635,61635,61635,61635
STAFF,Staff,Milimani,1040539,1006113,1002113,1054405,1019889,1007139,1007539,1142946,1020078,1002113
RM 2,Branch Banking,Mombasa,31631,31631,31631,31631,31631,31631,31631,31631,31631,31631
RM 13,Branch Banking,Industrial Area,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 2,Branch Banking,Mombasa,247998,72998,72998,72998,72430,422430,422430,422430,421862,446862
RM 3,Branch Banking,Eldoret,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 3,Branch Banking,Eldoret,53449,53449,53449,53449,53449,53449,53449,16449,16449,16449
RM 5,Corporate Banking,Milimani,11173,11173,11173,11173,11173,161173,11173,11173,11173,11173
RM 1,Branch Banking,Milimani,2243,2243,2243,2243,2243,2243,2243,2243,2243,2243
RM 3,Branch Banking,Eldoret,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 8 ,Corporate Sales,Milimani,98827,98827,98827,98827,98827,98827,98827,98827,98827,103827
RM 1,Branch Banking,Milimani,2243,2243,2243,2243,2243,2243,2243,2243,2243,2243
RM 1,Branch Banking,Milimani,2243,2243,2243,2243,2243,2243,2243,2243,2243,2243
STAFF,Staff,Milimani,2695324,2697969,2682621,2812185,2777185,2735185,2727183,3226749,2949373,2874920
RM 7,Corporate Sales,Milimani,57745,57745,59959,59959,59959,59959,59959,59959,59959,59959
